season,team,conference,statName,statValue
2021,Nevada,Mountain West,fourthDowns,21
2021,Wake Forest,ACC,turnovers,20
2021,Coastal Carolina,Sun Belt,fourthDowns,13
2021,Georgia Tech,ACC,sacks,20
2021,Michigan State,Big Ten,tacklesForLoss,85
2021,Colorado,Pac-12,possessionTime,19582
2021,Ohio,Mid-American,passingTDs,11
2021,Baylor,Big 12,rushingTDs,29
2021,Florida Atlantic,Conference USA,totalYards,4801
2021,Florida State,ACC,penaltyYards,750
2021,Iowa State,Big 12,netPassingYards,3430
2021,Missouri,SEC,turnovers,13
2021,UCLA,Pac-12,rushingAttempts,518
2021,LSU,SEC,possessionTime,23099
2021,Washington State,Pac-12,thirdDownConversions,67
2021,Ball State,Mid-American,passingTDs,18
2021,Virginia Tech,ACC,kickReturnTDs,0
2021,Syracuse,ACC,thirdDowns,156
2021,Fresno State,Mountain West,passingTDs,35
2021,Georgia,SEC,passAttempts,407
2021,Florida International,Conference USA,thirdDowns,162
2021,South Carolina,SEC,games,13
2021,Auburn,SEC,fourthDowns,23
2021,Kent State,Mid-American,puntReturns,15
2021,Army,FBS Independents,interceptions,3
2021,Northern Illinois,Mid-American,penalties,70
2021,Pittsburgh,ACC,rushingAttempts,525
2021,Rutgers,Big Ten,interceptionTDs,1
2021,Boise State,Mountain West,games,12
2021,Arkansas State,Sun Belt,passCompletions,310
2021,North Carolina,ACC,puntReturns,17
2021,UCLA,Pac-12,interceptions,8
2021,Oklahoma State,Big 12,interceptionYards,159
2021,South Alabama,Sun Belt,kickReturnTDs,0
2021,Western Michigan,Mid-American,puntReturnYards,27
2021,Oregon State,Pac-12,kickReturnYards,320
2021,Arizona,Pac-12,fumblesLost,5
2021,Western Michigan,Mid-American,totalYards,6080
2021,Middle Tennessee,Conference USA,rushingAttempts,457
2021,Eastern Michigan,Mid-American,sacks,24
2021,Arizona State,Pac-12,possessionTime,22955
2021,UNLV,Mountain West,thirdDownConversions,57
2021,South Carolina,SEC,penalties,76
2021,Memphis,American Athletic,interceptionTDs,0
2021,Florida,SEC,kickReturnTDs,0
2021,NC State,ACC,thirdDowns,170
2021,Notre Dame,FBS Independents,interceptionTDs,3
2021,BYU,FBS Independents,fourthDownConversions,16
2021,Bowling Green,Mid-American,puntReturns,23
2021,Virginia,ACC,passAttempts,554
2021,Baylor,Big 12,tacklesForLoss,103
2021,Ole Miss,SEC,rushingAttempts,588
2021,USC,Pac-12,thirdDownConversions,80
2021,Akron,Mid-American,turnovers,17
2021,Texas A&M,SEC,thirdDownConversions,58
2021,Michigan State,Big Ten,thirdDownConversions,72
2021,Syracuse,ACC,passAttempts,287
2021,Alabama,SEC,passCompletions,380
2021,Southern Mississippi,Conference USA,passCompletions,160
2021,South Florida,American Athletic,netPassingYards,2309
2021,West Virginia,Big 12,fumblesLost,8
2021,Liberty,FBS Independents,games,13
2021,South Alabama,Sun Belt,firstDowns,228
2021,Louisiana Monroe,Sun Belt,interceptionTDs,1
2021,Boise State,Mountain West,puntReturnYards,238
2021,Western Kentucky,Conference USA,rushingYards,1435
2021,Arkansas State,Sun Belt,passesIntercepted,9
2021,Kansas State,Big 12,rushingAttempts,436
2021,Pittsburgh,ACC,tacklesForLoss,113
2021,Toledo,Mid-American,fourthDowns,23
2021,Clemson,ACC,passesIntercepted,12
2021,Auburn,SEC,passCompletions,267
2021,Northern Illinois,Mid-American,kickReturnYards,748
2021,Oregon State,Pac-12,sacks,20
2021,Kentucky,SEC,netPassingYards,2933
2021,UT San Antonio,Conference USA,kickReturns,11
2021,Miami,ACC,kickReturns,19
2021,UMass,FBS Independents,turnovers,20
2021,Virginia,ACC,firstDowns,318
2021,North Carolina,ACC,rushingAttempts,513
2021,Minnesota,Big Ten,passAttempts,256
2021,Oregon,Pac-12,puntReturnTDs,0
2021,Northern Illinois,Mid-American,puntReturnTDs,0
2021,Clemson,ACC,rushingAttempts,488
2021,Michigan State,Big Ten,fourthDowns,20
2021,Tulane,American Athletic,penalties,72
2021,Texas Tech,Big 12,interceptionTDs,2
2021,Texas State,Sun Belt,rushingAttempts,443
2021,Western Michigan,Mid-American,firstDowns,322
2021,Rutgers,Big Ten,thirdDownConversions,61
2021,Washington,Pac-12,kickReturnYards,491
2021,South Carolina,SEC,tacklesForLoss,63
2021,Coastal Carolina,Sun Belt,kickReturnYards,542
2021,Georgia Tech,ACC,fourthDowns,23
2021,TCU,Big 12,kickReturnYards,804
2021,Kent State,Mid-American,puntReturnYards,82
2021,USC,Pac-12,interceptionTDs,1
2021,UT San Antonio,Conference USA,thirdDowns,197
2021,Oklahoma,Big 12,thirdDowns,148
2021,New Mexico,Mountain West,fumblesLost,12
2021,Northern Illinois,Mid-American,sacks,19
2021,Buffalo,Mid-American,passesIntercepted,3
2021,Stanford,Pac-12,fourthDownConversions,9
2021,Louisiana Tech,Conference USA,puntReturns,22
2021,Clemson,ACC,games,13
2021,Louisiana,Sun Belt,kickReturnYards,608
2021,Alabama,SEC,rushingYards,2250
2021,Washington State,Pac-12,passCompletions,281
2021,Oklahoma,Big 12,kickReturns,13
2021,Georgia Southern,Sun Belt,passesIntercepted,5
2021,Penn State,Big Ten,netPassingYards,3491
2021,Arkansas State,Sun Belt,rushingYards,975
2021,UMass,FBS Independents,tacklesForLoss,46
2021,Buffalo,Mid-American,firstDowns,285
2021,Ohio,Mid-American,puntReturnTDs,0
2021,Florida Atlantic,Conference USA,rushingTDs,18
2021,Rutgers,Big Ten,passingTDs,9
2021,Missouri,SEC,thirdDownConversions,84
2021,Georgia Southern,Sun Belt,thirdDownConversions,61
2021,Utah,Pac-12,tacklesForLoss,98
2021,Coastal Carolina,Sun Belt,puntReturnTDs,3
2021,Iowa State,Big 12,kickReturns,22
2021,TCU,Big 12,totalYards,5168
2021,Florida Atlantic,Conference USA,netPassingYards,2982
2021,Illinois,Big Ten,rushingAttempts,468
2021,Tulsa,American Athletic,interceptionYards,115
2021,Colorado State,Mountain West,passingTDs,15
2021,Penn State,Big Ten,rushingTDs,11
2021,Louisiana Monroe,Sun Belt,puntReturnYards,20
2021,Michigan State,Big Ten,possessionTime,22213
2021,Eastern Michigan,Mid-American,penalties,50
2021,Virginia Tech,ACC,turnovers,12
2021,Appalachian State,Sun Belt,passingTDs,29
2021,Oklahoma State,Big 12,interceptions,13
2021,Boise State,Mountain West,turnovers,15
2021,Arkansas,SEC,totalYards,5742
2021,Utah,Pac-12,thirdDownConversions,82
